date,discharge,ETP,precipitation
2010-12-31,0.2822135777031964,0.09320149217672592,0.06044397236349121
2011-01-01,0.7828140288371022,0.06632041302630443,0.5169252693310749
2011-01-02,0.41899038320429893,0.05568137667198814,0.0
2011-01-03,0.522712253374004,0.04568892624216123,0.3604439723634912
2011-01-04,0.511620822601061,0.05470807301933278,1.1564812969675835
2011-01-05,0.5588443655995103,0.07256444415591916,0.9773692416945661
2011-01-06,0.44618138104069754,0.07670793453777729,6.418070563401087
2011-01-07,0.45750761647624316,0.08820854878746792,0.5039626753959076
2011-01-08,0.4595497991338797,0.06435820381140092,0.932107725083698
2011-01-09,0.7144580662044104,0.04180959320592614,0.0
2011-01-10,0.8247946308824361,0.05260545383015192,0.0
2011-01-11,0.7961299248347022,0.05443319557792539,0.5208879447269824
2011-01-12,0.18149164605174412,0.04257945393647454,0.2169252693310748
2011-01-13,1.4104499815091327,0.03453655273787998,2.876771722186126
2011-01-14,0.9712416810407284,0.08464124197567584,3.0246594225308874
2011-01-15,1.2623963731330325,0.09093513128479593,8.422057165529425
2011-01-16,2.3818152439512312,0.10019815072254012,0.4507758079932245
2011-01-17,2.9047221380323927,0.07836593256877541,6.133468143478144
2011-01-18,2.5679257448791732,0.09081653447544819,1.0564812969675836
2011-01-19,3.6176786902101594,0.0657772659032195,0.0
2011-01-20,3.696267192876274,0.08170234739808838,0.0
2011-01-21,3.0712635240534207,0.06715702555917161,0.0
2011-01-22,2.756464620344032,0.08496305909855183,0.0
2011-01-23,2.576119191789993,0.10712273073568537,0.0
2011-01-24,2.286462924189298,0.09182172542794788,0.1
2011-01-25,2.161145204130214,0.10614929485446918,1.4885890220512819
2011-01-26,1.50967657820401,0.07530829547173114,0.152518621571676
2011-01-27,1.6052482549533742,0.0979346703076182,0.0
2011-01-28,1.7891033953063167,0.12247204263503551,0.0
2011-01-29,1.3471052447019882,0.13729164935738242,0.0
2011-01-30,0.855544773078286,0.09475396186900593,0.0
2011-01-31,0.9076219756155358,0.08031135446094056,0.0
2011-02-01,0.7040494226740358,0.058725034409480875,0.016925269331074817
2011-02-02,0.7065086925612956,0.13474764211013404,0.5450703190188653
2011-02-03,0.6299901783681261,0.18342804416034525,0.45784171536202983
2011-02-04,1.133494792434223,0.1835725355660009,10.698065988829546
2011-02-05,0.970067657727715,0.14064284756103734,0.6265934337013416
2011-02-06,2.1102049504855667,0.1622163294180945,10.230079060858245
2011-02-07,1.944429769153032,0.12930906486850793,0.4734065662986584
