date;discharge;ETP;precipitation
1988-01-01;1.7209110680266375;0.5300498252981818;2.2
1988-01-02;2.2534549439433533;0.637683965691327;14.5
1988-01-03;3.0056586023771388;0.4994421340648319;5.0
1988-01-04;3.1849940150046363;0.2176154299417368;1.2
1988-01-05;2.921416842282728;0.0379333138831274;1.1
1988-01-06;2.7518894040293347;0.4192504836696205;11.4
1988-01-07;3.2313633988030004;0.3943291967459371;4.2
1988-01-08;3.376273792463963;0.2060860709885806;0.7000000000000001
1988-01-09;3.122771642923375;0.3858747091854352;0.4
1988-01-10;2.9121186883587624;0.4233856855933844;2.7
1988-01-11;3.10298575402512;0.4675984218829435;13.9
1988-01-12;3.290672511169181;0.2694553101175672;1.5
1988-01-13;3.1672474079069377;0.367782801376262;0.9
1988-01-14;2.921416842282728;0.2243893345930657;0.8
1988-01-15;2.651042063558965;0.2272771115611332;0.6000000000000001
1988-01-16;2.4339799376211757;0.3762785619048475;0.7000000000000001
1988-01-17;2.25954851218073;0.3561875233416527;0.5
1988-01-18;2.177030430751075;0.3463247623750148;3.1
1988-01-19;2.1369488325044257;0.3905486877534295;1.2
1988-01-20;2.050012307173565;0.3426178737278091;0.9
1988-01-21;1.9385072915788588;0.4341170190039576;0.4
1988-01-22;1.8314935513782349;0.3135882401230855;4.3
1988-01-23;1.8782028154766923;0.1449867798982645;7.5
1988-01-24;1.9155653713226;;5.4
1988-01-25;2.3730442552474083;;12.9
1988-01-26;3.084632217820113;;2.1
1988-01-27;3.1203924808227264;;0.5
1988-01-28;2.8423461181825846;0.3875233994961511;8.9
1988-01-29;3.0915026553148444;0.3949039587125439;2.1
1988-01-30;3.4344904324369887;0.3724633641528441;8.4
1988-01-31;3.398147517491359;0.3587101522726503;0.9
1988-02-01;3.189024024277164;0.4607925208835811;4.8
1988-02-02;3.2083486470538647;0.538869430482454;6.8
1988-02-03;3.3013544634578107;0.53479191884893;2.3
1988-02-04;3.215219084548597;0.4827960969680814;1.9
1988-02-05;3.1697965101576333;0.5569011844410306;4.3
1988-02-06;3.3503457809997474;0.4557231314882649;14.2
1988-02-07;3.8398947989547327;0.2672611006214015;3.1
1988-02-08;3.7974340386074346;0.4047496959961824;5.5
1988-02-09;3.502903481412796;0.3720377022579504;3.8
1988-02-10;3.5383238641153163;0.6523906530378132;4.4
1988-02-11;3.654805698389952;0.4915562557628842;6.6
1988-02-12;3.772258619236281;0.3326915216277308;1.5
1988-02-13;3.608509146084464;0.254012785239303;0.6000000000000001
1988-02-14;3.344762033212509;0.5226104768704525;5.7
