date;discharge;ETP;precipitation;temperature
2010-01-01;;0.33;1.6769599999999998;-4.610416666666667
2010-01-02;;0.41;1.2423;-4.034027777777777
2010-01-03;;0.0;4.3263;-7.60486111111111
2010-01-04;;0.0;3.395;-1.9756944444444444
2010-01-05;;0.11;3.8714;-1.0541666666666667
2010-01-06;;0.13;1.59432;-2.446527777777778
2010-01-07;;0.15;0.86956;-4.5841666666666665
2010-01-08;;0.0;3.2292;-7.575694444444444
2010-01-09;;0.21;2.2356000000000003;-5.527222222222222
2010-01-10;;0.44;1.8216;-2.1243055555555554
2010-01-11;;0.14;0.4967999999999999;-3.7090277777777776
2010-01-12;;0.33;0.0207;-1.7604166666666667
2010-01-13;;0.37;1.94732;0.3652777777777778
2010-01-14;;0.59;0.2277;-0.7805555555555556
2010-01-15;;0.41;0.0828;-1.3331944444444443
2010-01-16;;0.53;0.26912;-1.5844444444444443
2010-01-17;;0.51;0.3726399999999999;-2.441666666666667
2010-01-18;;0.21;0.14502;-1.8881944444444445
2010-01-19;;0.25;0.0;-0.9125
2010-01-20;;0.37;0.18648;-1.1166666666666667
2010-01-21;;0.33;0.35786;-1.7272222222222222
2010-01-22;;0.41;0.02072;-2.413194444444444
2010-01-23;;0.46;0.22772;-3.239861111111111
2010-01-24;;0.64;0.1035;-3.773611111111111
2010-01-25;;0.07;0.0;-5.532638888888889
2010-01-26;;0.0;0.0;-8.441527777777777
2010-01-27;;0.38;2.4373399999999994;-0.0666666666666667
2010-01-28;;0.42;0.0;-0.7666666666666666
2010-01-29;;0.15;0.04146;-3.6972222222222224
2010-01-30;;0.08;0.00014;-6.980555555555555
2010-01-31;;0.09;0.95692;-1.803472222222222
2010-02-01;;0.27;0.0621399999999999;-5.929444444444445
2010-02-02;;0.23;0.4145399999999999;-0.9661111111111113
2010-02-03;;0.32;0.10352;-2.1326388888888888
2010-02-04;;0.08;0.5367000000000001;-4.109722222222223
2010-02-05;;0.33;0.38632;-0.4916666666666667
2010-02-06;;0.37;0.1035;-1.3416666666666668
2010-02-07;;0.26;0.0001;-3.643055555555556
2010-02-08;;0.21;2e-05;-6.059722222222223
2010-02-09;;0.04;0.0;-5.716666666666666
2010-02-10;;0.4;4e-05;-3.497916666666667
2010-02-11;;0.35;0.0;-5.186805555555556
2010-02-12;;0.3;0.0414;-3.869444444444444
2010-02-13;;0.32;0.0001;-4.352777777777778
2010-02-14;;0.26;0.0;-3.334722222222222
2010-02-15;;0.22;0.04154;-2.99375
2010-02-16;;0.4;0.15822;-2.693055555555556
2010-02-17;;0.46;0.1036599999999999;-1.3833333333333335
