date,discharge,precipitation,ETp,precip_7d,precip_30d,precip_surplus
2010-01-01,,1.6769599999999998,0.33,2.6601399999999997,1.8025039999999999,1.3469599999999997
2010-01-02,,1.2423,0.41,2.902392,1.7066675,0.8323
2010-01-03,,4.3263,0.0,2.6843799999999995,1.6281952941176472,4.3263
2010-01-04,,3.395,0.0,2.4251199999999997,1.5457966666666667,3.395
2010-01-05,,3.8714,0.11,2.646868571428571,1.464438947368421,3.7614
2010-01-06,,1.59432,0.13,2.7887685714285717,1.400541,1.4643199999999998
2010-01-07,,0.86956,0.15,2.430954285714286,1.3508895238095238,0.71956
2010-01-08,,3.2292,0.0,2.0169257142857147,1.2904272727272728,3.2292
2010-01-09,,2.2356000000000003,0.21,1.4668257142857144,1.2442226086956523,2.0256000000000003
2010-01-10,,1.8216,0.44,1.5172542857142857,1.1966925,1.3816000000000002
2010-01-11,,0.4967999999999999,0.14,1.4255600000000002,1.1488248,0.3567999999999999
2010-01-12,,0.0207,0.33,0.9760742857142858,1.1046392307692308,-0.3093
2010-01-13,,1.94732,0.37,0.6951485714285714,1.1539985185185184,1.5773199999999998
2010-01-14,,0.2277,0.59,0.4881542857142857,1.1127842857142858,-0.36229999999999996
2010-01-15,,0.0828,0.41,0.43789999999999996,1.0758420689655173,-0.3272
2010-01-16,,0.26912,0.53,0.4349428571428571,1.0399853333333333,-0.26088
2010-01-17,,0.3726399999999999,0.51,0.1833942857142857,1.015984,-0.1373600000000001
2010-01-18,,0.14502,0.21,0.20198857142857143,0.9766453333333333,-0.06497999999999998
2010-01-19,,0.0,0.25,0.19311999999999999,0.8462533333333333,-0.25
2010-01-20,,0.18648,0.37,0.18720571428571425,0.7365373333333333,-0.18352
2010-01-21,,0.35786,0.33,0.14875714285714287,0.6253806666666667,0.027859999999999996
2010-01-22,,0.02072,0.41,0.12804000000000001,0.585114,-0.38927999999999996
2010-01-23,,0.22772,0.46,0.12804000000000001,0.5595786666666667,-0.23228000000000001
2010-01-24,,0.1035,0.64,0.4495914285714285,0.45194199999999995,-0.5365
2010-01-25,,0.0,0.07,0.39846857142857134,0.37742266666666663,-0.07
2010-01-26,,0.0,0.0,0.4014314285714285,0.31670266666666663,0.0
2010-01-27,,2.4373399999999994,0.38,0.36891999999999986,0.3001439999999999,2.0573399999999995
2010-01-28,,0.0,0.42,0.4908371428571428,0.29945399999999994,-0.42
2010-01-29,,0.04146,0.15,0.4997142857142856,0.23592333333333332,-0.10854
2010-01-30,,0.00014,0.08,0.5589342857142856,0.22833666666666666,-0.07986
2010-01-31,,0.95692,0.09,0.22553142857142852,0.22557666666666662,0.86692
2010-02-01,,0.0621399999999999,0.27,0.3022028571428571,0.21799066666666664,-0.20786000000000013
2010-02-02,,0.4145399999999999,0.23,0.3514685714285714,0.2108433333333333,0.1845399999999999
2010-02-03,,0.10352,0.32,0.3662342857142857,0.20946466666666666,-0.21648
2010-02-04,,0.5367000000000001,0.08,0.22954571428571424,0.22741666666666663,0.45670000000000005
