date,temp,humid,wind,radia,rain,flow,ks mrk.,ETp
2003-08-08 12:00:00,23.42428571428572,61.48571428571429,1.3957142857142857,204.68571428571428,0.0,140.3,0.0,1.945
2003-08-09 00:00:00,20.43611111111112,77.79166666666667,2.3569444444444443,290.9583333333333,0.0,133.55,0.0,2.035
2003-08-09 12:00:00,21.416666666666668,62.47222222222222,1.536111111111111,226.47222222222223,0.0,126.8,0.0,2.035
2003-08-10 00:00:00,19.523611111111112,75.44444444444444,1.5625,290.52777777777777,0.0,125.55,0.0,1.975
2003-08-10 12:00:00,23.34861111111111,63.54166666666666,1.4375,225.54166666666663,0.0,124.3,0.0,1.975
2003-08-11 00:00:00,21.101388888888888,80.70833333333333,2.0625,259.18055555555554,0.0,122.9,0.0,1.945
2003-08-11 12:00:00,23.7125,61.36111111111112,1.6222222222222222,207.02777777777777,0.0,121.5,0.0,1.945
2003-08-12 00:00:00,21.262500000000003,78.80555555555556,2.0791666666666666,240.59722222222223,1.5,122.85,0.0,1.77
2003-08-12 12:00:00,22.047222222222224,68.33333333333333,2.2472222222222222,189.90277777777777,0.0,124.2,0.0,1.77
2003-08-13 00:00:00,19.625,78.16666666666667,1.4305555555555556,254.11111111111111,0.0,126.7,0.0,1.695
2003-08-13 12:00:00,20.93235294117647,66.75,4.4676470588235295,121.11111111111111,1.8,129.2,0.0,1.695
2003-08-14 00:00:00,16.898591549295773,72.29577464788733,5.305633802816901,225.0704225352113,0.5,130.45,0.0,1.9
2003-08-14 12:00:00,17.640277777777776,64.61111111111111,9.279166666666669,170.09722222222223,0.1,131.7,0.0,1.9
2003-08-15 00:00:00,16.90138888888889,70.45833333333333,7.3916666666666675,113.625,0.1,128.8,0.0,1.415
2003-08-15 12:00:00,17.504285714285714,76.24285714285715,7.491428571428571,73.07246376811594,1.4,125.9,0.0,1.415
2003-08-16 00:00:00,18.014084507042252,78.80281690140845,5.1394366197183095,272.67605633802816,0.3,119.65,0.0,1.5
2003-08-16 12:00:00,18.148611111111112,77.43055555555556,3.2125000000000004,123.55555555555556,1.2000000000000002,113.4,0.0,1.5
2003-08-17 00:00:00,17.174999999999997,83.91666666666667,2.711111111111111,224.40277777777777,0.0,111.8,0.0,1.25
2003-08-17 12:00:00,17.829166666666666,80.05555555555556,1.1208333333333331,120.81944444444444,0.0,110.2,0.0,1.25
2003-08-18 00:00:00,15.186111111111112,91.66666666666669,1.1583333333333334,74.65277777777777,0.1,113.75,0.0,0.63
2003-08-18 12:00:00,17.802816901408452,88.19718309859155,1.5140845070422535,56.478873239436616,5.8,117.3,0.0,0.63
2003-08-19 00:00:00,18.466666666666665,88.19444444444444,2.191666666666667,211.38888888888889,0.0,126.45,0.0,1.57
2003-08-19 12:00:00,19.04225352112676,67.71830985915493,4.51830985915493,199.887323943662,0.4,135.6,0.0,1.57
2003-08-20 00:00:00,16.421126760563382,82.50704225352112,4.054929577464788,189.2112676056338,0.7,136.35,0.0,1.355
2003-08-20 12:00:00,18.163888888888888,68.68055555555556,4.6875,116.63888888888889,0.1,137.1,0.0,1.355
2003-08-21 00:00:00,16.02638888888889,79.83333333333333,3.120833333333333,106.44444444444444,0.1,128.35,0.0,0.905
2003-08-21 12:00:00,17.03472222222222,78.22222222222223,3.1722222222222225,49.72222222222222,0.0,119.6,0.0,0.905
