date,discharge,precipitation,ETp,temp,groundwater,precip_30d,precip_7d,precip_90d,precip_surplus,melt
2003-08-08,0.0865851428571428,0.0,3.89,23.42428571428572,-1.02,1.3333333333333333,0.0,1.8177777777777777,-3.89,1.0
2003-08-09,0.0803365714285714,0.0,4.07,20.926388888888894,-1.02,1.5125,0.3,1.7782608695652173,-4.07,1.0
2003-08-10,0.0770965714285714,0.0,3.95,21.43611111111111,-1.02,1.423529411764706,0.5499999999999999,1.8851063829787233,-3.95,1.0
2003-08-11,0.0754148571428571,0.0,3.89,22.40694444444444,-1.03,1.3444444444444443,0.5571428571428572,1.8458333333333332,-3.89,1.0
2003-08-12,0.0762325714285714,1.5,3.54,21.654861111111114,-1.05,1.2789473684210526,0.7714285714285715,1.8081632653061224,-2.04,1.0
2003-08-13,0.0789634285714285,1.8,3.39,20.278676470588238,-1.06,1.355,0.9857142857142858,1.7719999999999998,-1.59,1.0
2003-08-14,0.0808919999999999,0.6,3.8,17.269434663536774,-1.06,1.3095238095238095,0.9857142857142858,1.7450980392156863,-3.1999999999999997,1.0
2003-08-15,0.0785931428571428,1.5,2.83,17.2028373015873,-1.06,1.6863636363636365,1.8285714285714287,1.728846153846154,-1.33,1.0
2003-08-16,0.0719125714285714,1.5000000000000002,3.0,18.081347809076682,-1.06,1.7608695652173914,1.6714285714285713,1.7,-1.4999999999999998,1.0
2003-08-17,0.0685028571428571,0.0,2.5,17.50208333333333,-1.07,1.9291666666666665,1.5285714285714285,1.6703703703703705,-2.5,1.0
2003-08-18,0.0712954285714285,5.8999999999999995,1.26,16.494464006259783,-1.09,1.96,1.457142857142857,1.6400000000000001,4.64,1.0
2003-08-19,0.0808611428571428,0.4,3.14,18.75446009389671,-1.09,1.8846153846153846,2.0857142857142854,1.6125,-2.74,1.0
2003-08-20,0.0843788571428571,0.7999999999999999,2.71,17.292507824726137,-1.09,1.8259259259259262,2.471428571428571,1.5912280701754387,-1.9100000000000001,1.0
2003-08-21,0.0765102857142857,0.1,1.81,16.530555555555555,-1.1,1.760714285714286,2.471428571428571,1.567241379310345,-1.71,1.0
2003-08-22,0.0804754285714285,5.8999999999999995,2.32,17.28888888888889,-1.1,1.7000000000000002,1.6285714285714286,1.540677966101695,3.5799999999999996,1.0
2003-08-23,0.092556,4.2,2.75,16.857638888888886,-1.1,1.6433333333333335,1.5857142857142856,1.5233333333333334,1.4500000000000002,1.0
2003-08-24,0.0924171428571428,0.0,3.23,18.330780516431922,-1.12,1.6433333333333335,1.8714285714285714,1.5737704918032787,-3.23,1.0
2003-08-25,0.081324,0.0,2.79,16.39375,-1.12,1.6433333333333335,1.9142857142857144,1.6419354838709677,-2.79,1.0
2003-08-26,0.073008,0.1,2.93,16.21875,-1.13,1.65,2.442857142857143,1.615873015873016,-2.83,1.0
2003-08-27,0.0739337142857143,2.8,2.33,12.25,-1.13,2.566666666666667,2.3285714285714287,1.659375,0.46999999999999975,1.0
2003-08-28,0.07452,0.4,2.33,13.499305555555555,-1.13,2.5166666666666666,3.1571428571428575,1.6876923076923078,-1.9300000000000002,1.0
2003-08-29,0.0776211428571428,9.6,1.12,13.03263888888889,-1.13,2.47,3.542857142857143,1.662121212121212,8.48,1.0
