date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d,precip_roll7d,precip_roll30d
2003-09-07 12:00:00,16.040277777777778,77.69444444444444,1.947222222222222,102.16666666666669,0.0,1.005,123.9,0.0,0.076464,2.9999999999999982,49.3
2003-09-08 00:00:00,16.259722222222223,76.84722222222223,3.5597222222222222,202.0,0.0,1.42,124.15,0.0,0.0766182857142857,2.9999999999999982,49.3
2003-09-08 12:00:00,17.420833333333334,66.25,6.165277777777778,120.875,0.0,1.42,124.4,0.0,0.0767725714285714,0.2999999999999982,49.3
2003-09-09 00:00:00,16.700000000000003,69.86111111111111,6.115277777777778,176.0,0.1,1.47,124.9,0.0,0.0770811428571428,0.39999999999999825,49.4
2003-09-09 12:00:00,17.38611111111111,66.26388888888889,3.6027777777777774,114.13888888888889,0.1,1.47,125.4,0.0,0.0773897142857142,0.4999999999999982,49.5
2003-09-10 00:00:00,14.259722222222225,94.80555555555556,1.411111111111111,25.02777777777778,8.5,0.325,174.35000000000002,0.0,0.1075988571428571,8.699999999999998,58.0
2003-09-10 12:00:00,12.51388888888889,95.01388888888889,2.2916666666666665,17.38888888888889,19.0,0.325,223.3,0.0,0.137808,27.699999999999996,77.0
2003-09-11 00:00:00,12.537096774193548,87.30645161290323,1.9241935483870969,155.8032786885246,0.0,1.03,541.75,0.0,0.3343371428571428,27.699999999999996,75.5
2003-09-11 12:00:00,16.541666666666668,73.25,2.0500000000000003,203.365925058548,0.0,1.03,860.2,0.0,0.5308662857142857,27.699999999999996,75.5
2003-09-12 00:00:00,15.916666666666666,82.33333333333333,1.3416666666666668,250.92857142857144,0.0,0.74,740.0,0.0,0.4566857142857143,27.699999999999996,75.5
2003-09-12 12:00:00,15.4,84.58333333333333,1.4874999999999998,83.70833333333333,0.4,0.74,619.8,0.0,0.3825051428571428,28.099999999999994,74.10000000000001
2003-09-13 00:00:00,14.583333333333334,88.45833333333333,2.401388888888889,153.15277777777777,0.2,0.77,510.5,0.0,0.3150514285714286,28.299999999999997,73.8
2003-09-13 12:00:00,13.868055555555555,84.83333333333333,1.4958333333333331,114.02777777777776,0.0,0.77,401.2,0.0,0.2475977142857142,28.299999999999997,73.69999999999999
2003-09-14 00:00:00,12.425,89.22222222222223,1.3250000000000002,197.84722222222223,0.0,0.905,358.85,0.0,0.2214617142857143,28.299999999999997,73.6
2003-09-14 12:00:00,15.177777777777775,74.73611111111111,2.0694444444444446,134.76388888888889,0.0,0.905,316.5,0.0,0.1953257142857143,28.299999999999997,72.19999999999999
2003-09-15 00:00:00,13.801388888888887,82.69444444444444,2.658333333333333,173.08333333333334,0.0,0.965,295.05,0.0,0.182088,28.299999999999997,71.89999999999999
2003-09-15 12:00:00,16.609722222222224,71.05555555555556,2.530555555555555,110.86111111111111,0.0,0.965,273.6,0.0,0.1688502857142857,28.299999999999997,70.69999999999999
2003-09-16 00:00:00,14.293055555555554,89.48611111111111,3.0250000000000004,83.54166666666667,0.0,0.775,254.55,0.0,0.1570937142857142,28.199999999999996,70.69999999999999
2003-09-16 12:00:00,15.677777777777775,79.20833333333333,2.770833333333333,133.52777777777777,0.0,0.775,235.5,0.0,0.1453371428571428,28.099999999999998,70.69999999999999
2003-09-17 00:00:00,15.241666666666667,81.84722222222223,3.279166666666667,185.51388888888889,0.0,0.95,224.55,0.0,0.1385794285714285,19.599999999999998,70.6
2003-09-17 12:00:00,16.258333333333333,79.20833333333333,1.9944444444444445,122.70833333333331,0.0,0.95,213.6,0.0,0.1318217142857143,0.5999999999999965,64.8
2003-09-18 00:00:00,16.322222222222223,80.875,1.9847222222222225,167.20833333333334,0.0,1.095,208.75,0.0,0.1288285714285714,0.5999999999999965,64.8
2003-09-18 12:00:00,19.42638888888889,62.36111111111112,2.947222222222222,112.73611111111111,0.0,1.095,203.9,0.0,0.1258354285714285,0.5999999999999965,64.39999999999999
2003-09-19 00:00:00,16.019444444444446,81.84722222222223,3.0819444444444444,105.47222222222224,0.0,0.89,198.2,0.0,0.1223177142857142,0.5999999999999965,63.7
2003-09-19 12:00:00,18.069444444444443,76.83333333333333,5.380555555555556,57.458333333333336,0.0,0.89,192.5,0.0,0.1188,0.19999999999999646,63.6
2003-09-20 00:00:00,15.66527777777778,87.52777777777777,1.6416666666666666,183.04166666666663,0.0,0.845,186.6,0.0,0.1151588571428571,0.0,63.5
2003-09-20 12:00:00,17.183333333333334,80.59722222222223,2.6444444444444444,102.47222222222224,0.0,0.845,180.7,0.0,0.1115177142857142,0.0,63.5
2003-09-21 00:00:00,15.518055555555556,88.88888888888889,3.075,78.68055555555556,2.0,0.55,177.05,0.0,0.1092651428571428,1.9999999999999964,59.7
2003-09-21 12:00:00,13.18888888888889,85.94444444444444,4.775,22.569444444444443,2.2,0.55,173.4,0.0,0.1070125714285714,4.199999999999997,61.8
2003-09-22 00:00:00,15.488888888888887,82.36111111111111,3.113888888888889,165.15277777777777,0.0,1.09,179.3,0.0,0.1106537142857143,4.199999999999997,60.199999999999996
2003-09-22 12:00:00,20.466666666666665,63.68055555555556,3.875,105.01388888888889,0.0,1.09,185.2,0.0,0.1142948571428571,4.199999999999997,57.599999999999994
2003-09-23 00:00:00,13.211267605633802,76.09859154929578,6.446478873239436,172.9142857142857,3.4,1.275,187.15,0.0,0.1154982857142857,7.599999999999996,61.0
