date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d
2007-11-19 00:00:00,4.691666666666666,90.68055555555556,4.887499999999999,5.180555555555555,0.0,0.225,590.6111111111111,0.0,0.3644914285714286
2007-11-19 12:00:00,4.079166666666667,93.93055555555556,3.931944444444445,3.6527777777777777,0.0,0.225,587.9285714285714,0.0,0.36283591836734697
2007-11-20 00:00:00,4.468055555555555,90.44444444444444,2.533333333333333,9.36111111111111,0.0,0.2,571.0117647058823,0.0,0.35239583193277313
2007-11-20 12:00:00,4.281944444444445,91.59722222222224,3.043055555555556,5.319444444444445,0.0,0.2,570.99,0.0,0.3523824
2007-11-21 00:00:00,4.030555555555555,91.97222222222224,4.019444444444444,5.111111111111111,0.0,0.225,555.7428571428571,0.0,0.34297273469387757
2007-11-21 12:00:00,4.354166666666667,91.40277777777776,4.004166666666666,2.180555555555556,0.3,0.225,547.51,0.0,0.3378918857142857
2007-11-22 00:00:00,6.101388888888889,93.80555555555556,1.4541666666666666,23.72222222222222,0.0,0.085,544.02,0.0,0.33573805714285715
2007-11-22 12:00:00,6.8694444444444445,96.375,2.136111111111111,9.0,0.0,0.085,533.54,0.0,0.3292704
2007-11-23 00:00:00,6.573611111111111,96.70833333333331,2.636111111111111,14.666666666666666,0.0,0.1,533.5666666666667,0.0,0.3292868571428572
2007-11-23 12:00:00,3.801388888888889,89.13888888888889,2.301388888888889,20.95833333333333,0.0,0.1,541.1033333333334,0.0,0.3339380571428571
2007-11-24 00:00:00,1.4388888888888889,91.45833333333331,1.9486111111111115,46.40277777777778,0.2,0.025,519.3666666666667,0.0,0.32052342857142857
2007-11-24 12:00:00,2.826388888888889,84.48611111111111,4.240277777777778,22.47222222222222,4.3,0.025,512.7189189189189,0.0,0.31642081853281856
2007-11-25 00:00:00,4.763888888888889,94.83333333333331,5.423611111111111,21.11111111111111,2.8,0.2,566.5325581395349,0.0,0.3496315215946844
