date,discharge,precipitation,ETp,precip_7d,precip_30d,precip_90d,precip_surplus
2008-01-01,0.8673800928526584,0.05,0.35,0.6125,2.9633333333333334,2.218888888888889,-0.3
2008-01-02,0.8764606863166243,2.2,0.425,1.54,2.975,2.1706521739130435,1.7750000000000001
2008-01-03,0.8794346892244657,0.2,0.88,1.7416666666666665,2.8441176470588236,2.124468085106383,-0.6799999999999999
2008-01-04,0.8793642071176024,0.0,0.71,2.142857142857143,2.933333333333333,2.080208333333333,-0.71
2008-01-05,0.8847551217658528,5.25,0.365,2.242857142857143,2.8289473684210527,2.037755102040816,4.885
2008-01-06,0.9111163962594588,2.75,0.075,2.3785714285714286,2.715,1.9969999999999999,2.675
2008-01-07,0.9376827974754652,4.55,0.275,3.435714285714286,2.607142857142857,1.9578431372549019,4.2749999999999995
2008-01-08,0.9671078875194132,0.7500000000000001,0.085,4.085714285714286,2.4886363636363638,1.9326923076923077,0.6650000000000001
2008-01-09,0.990352633578958,3.15,0.41,3.5714285714285716,2.6456521739130436,1.9283018867924528,2.7399999999999998
2008-01-10,1.0867788471070283,7.6,0.51,3.185714285714286,2.55625,1.912962962962963,7.09
2008-01-11,1.1456582460430231,4.55,0.26,2.542857142857143,2.674,1.8836363636363636,4.29
2008-01-12,1.2182134041568913,1.65,0.415,4.1,2.8173076923076925,1.8499999999999999,1.2349999999999999
2008-01-13,1.2494313270330109,0.05,0.255,4.1000000000000005,2.714814814814815,1.9271929824561402,-0.20500000000000002
2008-01-14,1.2702563361200143,0.05,0.325,3.1214285714285714,2.619642857142857,1.9025862068965516,-0.275
2008-01-15,1.3229023064468164,11.65,0.495,3.107142857142857,2.529310344827586,1.8728813559322033,11.155000000000001
2008-01-16,1.439290792386743,3.1500000000000004,0.655,3.007142857142857,2.496666666666667,1.9291666666666667,2.495
2008-01-17,1.442059148134686,0.7500000000000001,0.1649999999999999,3.0785714285714287,2.808333333333333,2.0278688524590165,0.5850000000000002
2008-01-18,1.481203557148994,4.45,0.365,3.1357142857142857,2.8983333333333334,2.0048387096774194,4.085
2008-01-19,1.5427899745563889,0.95,0.7,1.4714285714285715,2.9066666666666667,2.0126984126984127,0.25
2008-01-20,1.5351087631761555,0.55,0.235,1.8928571428571428,2.9116666666666666,1.98671875,0.31500000000000006
2008-01-21,1.550811254667416,0.45,0.4,1.8571428571428572,2.8016666666666667,1.959230769230769,0.04999999999999999
2008-01-22,1.541641220302019,0.0,0.01,2.007142857142857,2.835,2.009090909090909,-0.01
2008-01-23,1.5665636338102635,6.1,0.315,2.7857142857142856,2.828333333333333,1.9828358208955223,5.784999999999999
2008-01-24,1.5942807223342037,0.5,0.485,2.7142857142857144,2.8033333333333332,1.963235294117647,0.015000000000000013
2008-01-25,1.6569599841390477,5.5,0.92,2.6571428571428575,2.698333333333333,2.0159420289855072,4.58
2008-01-26,1.7465959752833495,6.4,0.85,2.6571428571428575,2.445,1.9892857142857143,5.550000000000001
2008-01-27,1.7480894822059942,0.05,0.24,2.007142857142857,2.2933333333333334,1.9725352112676058,-0.19
