property; value
area_ha; 4842.08
mean_elevation_m; 73.879
mean_slope_percent; 4.89
rural_percent; 60.22
urban_percent; 4.73
nature_percent; 26.71
longest_flow_path_km; 5.679
lake_percent; 8.34

