date;discharge;ETP;precipitation
2008-01-01;0.8673800928526584;0.35;0.05
2008-01-02;0.8764606863166243;0.425;2.2
2008-01-03;0.8794346892244657;0.88;0.2
2008-01-04;0.8793642071176024;0.71;0.0
2008-01-05;0.8847551217658528;0.365;5.25
2008-01-06;0.9111163962594588;0.075;2.75
2008-01-07;0.9376827974754652;0.275;4.55
2008-01-08;0.9671078875194133;0.085;0.7500000000000001
2008-01-09;0.9903526335789579;0.41;3.15
2008-01-10;1.0867788471070285;0.51;7.6
2008-01-11;1.1456582460430231;0.26;4.55
2008-01-12;1.2182134041568913;0.415;1.65
2008-01-13;1.2494313270330109;0.255;0.05
2008-01-14;1.2702563361200145;0.325;0.05
2008-01-15;1.3229023064468164;0.495;11.65
2008-01-16;1.439290792386743;0.655;3.1500000000000004
2008-01-17;1.442059148134686;0.1649999999999999;0.7500000000000001
2008-01-18;1.4812035571489939;0.365;4.45
2008-01-19;1.5427899745563889;0.7;0.95
2008-01-20;1.5351087631761557;0.235;0.55
2008-01-21;1.550811254667416;0.4;0.45
2008-01-22;1.5416412203020193;0.01;0.0
2008-01-23;1.5665636338102635;0.315;6.1
2008-01-24;1.5942807223342037;0.485;0.5
2008-01-25;1.6569599841390477;0.92;5.5
2008-01-26;1.7465959752833495;0.85;6.4
2008-01-27;1.7480894822059942;0.24;0.05
2008-01-28;1.7525912665631298;0.295;0.05
2008-01-29;1.757659956051945;0.44;0.0
2008-01-30;1.7589963651984273;0.35;1.55
2008-01-31;1.812160988666028;0.48;9.4
2008-02-01;1.9548103046624592;0.605;4.9
2008-02-02;1.9634969269404887;0.475;0.45
2008-02-03;1.9591520916630873;0.4599999999999999;0.15
2008-02-04;1.947059354657503;0.405;1.95
2008-02-05;1.956886329841721;0.31;3.75
2008-02-06;2.032884182004428;0.655;4.35
2008-02-07;2.0206095892674227;0.465;0.0
2008-02-08;1.9977747992598223;0.34;0.0
2008-02-09;1.9687011532234082;0.755;0.0
2008-02-10;1.9343113868420188;0.255;0.0
2008-02-11;1.8994431153553848;0.305;0.0
