date;discharge;precipitation;ETp
2003-08-08;0.08658514285714287;0.0;3.89
2003-08-09;0.08033657142857144;0.0;4.07
2003-08-10;0.07709657142857143;0.0;3.95
2003-08-11;0.07541485714285714;0.0;3.89
2003-08-12;0.07623257142857143;1.5;3.54
2003-08-13;0.07896342857142856;1.8;3.39
2003-08-14;0.08089199999999999;0.6;3.8
2003-08-15;0.07859314285714286;1.5;2.83
2003-08-16;0.07191257142857142;1.5000000000000002;3.0
2003-08-17;0.06850285714285714;0.0;2.5
2003-08-18;0.07129542857142857;5.8999999999999995;1.26
2003-08-19;0.08086114285714285;0.4;3.14
2003-08-20;0.08437885714285714;0.7999999999999999;2.71
2003-08-21;0.07651028571428571;0.1;1.81
2003-08-22;0.08047542857142857;5.8999999999999995;2.32
2003-08-23;0.09255600000000001;4.2;2.75
2003-08-24;0.09241714285714285;0.0;3.23
2003-08-25;0.081324;0.0;2.79
2003-08-26;0.073008;0.1;2.93
2003-08-27;0.0739337142857143;2.8;2.33
2003-08-28;0.07452;0.4;2.33
2003-08-29;0.07762114285714286;9.6;1.12
2003-08-30;0.10710514285714287;3.4;1.16
2003-08-31;0.138888;5.800000000000001;1.72
2003-09-01;0.14354742857142858;2.7;1.36
2003-09-02;0.14141828571428572;0.0;2.1
2003-09-03;0.11630057142857142;0.3;1.53
2003-09-04;0.0942222857142857;0.0;2.21
2003-09-05;0.0848417142857143;0.0;1.96
2003-09-06;0.08075314285714286;0.0;2.32
2003-09-07;0.07732800000000001;0.0;2.01
2003-09-08;0.07669542857142857;0.0;2.84
2003-09-09;0.07723542857142857;0.2;2.94
2003-09-10;0.12270342857142857;27.5;0.65
2003-09-11;0.4326017142857143;0.0;2.06
2003-09-12;0.41959542857142856;0.4;1.48
2003-09-13;0.2813245714285714;0.2;1.54
2003-09-14;0.2083937142857143;0.0;1.81
2003-09-15;0.17546914285714288;0.0;1.93
2003-09-16;0.15121542857142858;0.0;1.55
2003-09-17;0.13520057142857142;0.0;1.9
2003-09-18;0.127332;0.0;2.19
2003-09-19;0.12055885714285715;0.0;1.78
2003-09-20;0.1133382857142857;0.0;1.69
2003-09-21;0.10813885714285716;4.2;1.1
2003-09-22;0.11247428571428572;0.0;2.18
2003-09-23;0.1161;6.8;2.55
2003-09-24;0.11522057142857142;0.0;1.74
2003-09-25;0.09991542857142857;0.0;1.3
2003-09-26;0.090396;0.0;1.81
2003-09-27;0.08840571428571428;0.4;1.34
2003-09-28;0.08584457142857144;0.9;0.75
2003-09-29;0.08564399999999998;0.2;0.7
2003-09-30;0.083808;0.1;1.07
2003-10-01;0.08044457142857145;0.0;0.82
2003-10-02;0.0831137142857143;0.1;0.74
2003-10-03;0.08194114285714285;0.3999999999999999;0.79
2003-10-04;0.08467199999999998;0.2;0.85
2003-10-05;0.081864;0.0;0.94
2003-10-06;0.07752857142857143;0.5;0.9
2003-10-07;0.08444057142857142;4.6;0.57
2003-10-08;0.10295485714285713;5.8;0.58
2003-10-09;0.11032971428571428;0.0;1.08
2003-10-10;0.09709200000000001;4.4;1.15
2003-10-11;0.09841885714285714;3.5000000000000004;1.47
2003-10-12;0.12179314285714288;0.0;0.89
2003-10-13;0.12220971428571428;0.1;0.76
2003-10-14;0.10469828571428572;0.0;0.64
2003-10-15;0.097524;0.0;0.53
2003-10-16;0.09451542857142857;0.1;0.36
2003-10-17;0.09360514285714287;0.0;0.44
2003-10-18;0.09513257142857143;0.0;0.67
2003-10-19;0.0976937142857143;13.0;0.46
2003-10-20;0.17719714285714286;6.1;0.59
2003-10-21;0.1962977142857143;0.4;0.97
2003-10-22;0.16756971428571427;0.0;0.63
2003-10-23;0.14587714285714284;0.0;0.33
2003-10-24;0.12569657142857144;0.1;0.46
2003-10-25;0.11230457142857143;0.8999999999999999;0.74
2003-10-26;0.10844742857142857;0.0;0.37
2003-10-27;0.10676571428571428;0.0;0.6
2003-10-28;0.1057782857142857;0.3;0.74
2003-10-29;0.10489885714285714;0.0;0.22
2003-10-30;0.10730571428571428;7.1;0.32
2003-10-31;0.14317714285714286;0.4;0.34
2003-11-01;0.13128171428571428;0.6;0.63
2003-11-02;0.11727257142857142;0.5;0.54
2003-11-03;0.13109657142857142;5.1;0.51
